               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.019152,           0.0039791,          5.0705e-05,               0.938,             0.91759,             0.95354,             0.68332,            0.019957,            0.003514,          3.6073e-05,            0.002674,            0.002674,            0.002674
                  76,            0.019108,           0.0040323,          5.0665e-05,             0.94666,             0.90989,             0.95378,             0.68339,            0.019923,           0.0035147,          3.5777e-05,            0.002575,            0.002575,            0.002575
                  77,            0.018834,           0.0039178,          4.9369e-05,             0.94777,             0.91064,             0.95466,             0.68418,            0.019883,           0.0035063,          3.5679e-05,            0.002476,            0.002476,            0.002476
                  78,             0.01899,           0.0039921,          4.7703e-05,              0.9468,             0.91351,             0.95492,             0.68452,            0.019876,            0.003501,          3.4829e-05,            0.002377,            0.002377,            0.002377
                  79,            0.018366,             0.00387,          4.5768e-05,             0.94566,             0.91474,             0.95477,             0.68464,            0.019876,           0.0035022,          3.4411e-05,            0.002278,            0.002278,            0.002278
                  80,            0.018539,           0.0039037,          4.5045e-05,             0.94297,             0.91469,             0.95457,              0.6849,            0.019859,           0.0034989,          3.3862e-05,            0.002179,            0.002179,            0.002179
                  81,            0.018099,           0.0037651,          4.3734e-05,             0.94589,             0.91046,             0.95464,             0.68471,            0.019834,            0.003491,          3.3385e-05,             0.00208,             0.00208,             0.00208
                  82,            0.017853,           0.0037086,          4.3498e-05,             0.94291,             0.91161,             0.95454,             0.68465,            0.019829,           0.0034912,          3.3476e-05,            0.001981,            0.001981,            0.001981
                  83,            0.017839,           0.0038008,          4.3117e-05,             0.93124,             0.92472,              0.9542,             0.68454,            0.019844,           0.0034917,          3.3422e-05,            0.001882,            0.001882,            0.001882
                  84,            0.017775,           0.0037252,          4.2389e-05,             0.93023,             0.92389,             0.95405,             0.68512,            0.019822,            0.003493,          3.3132e-05,            0.001783,            0.001783,            0.001783
                  85,            0.017666,           0.0038107,          4.0114e-05,             0.93609,             0.92044,              0.9541,             0.68466,            0.019813,           0.0034935,          3.3065e-05,            0.001684,            0.001684,            0.001684
                  86,             0.01756,           0.0037979,          4.0993e-05,             0.93808,             0.92016,             0.95351,             0.68317,            0.019827,           0.0034963,          3.3087e-05,            0.001585,            0.001585,            0.001585
                  87,            0.017646,           0.0036849,          3.9242e-05,             0.93647,             0.92159,              0.9534,             0.68372,            0.019836,           0.0034992,          3.2879e-05,            0.001486,            0.001486,            0.001486
                  88,            0.017139,           0.0037019,          3.8625e-05,             0.93675,             0.91902,             0.95339,             0.68414,            0.019841,           0.0035015,          3.2686e-05,            0.001387,            0.001387,            0.001387
                  89,            0.017412,           0.0036466,          3.7573e-05,             0.93402,             0.92035,             0.95339,             0.68455,            0.019839,           0.0035054,          3.2565e-05,            0.001288,            0.001288,            0.001288
                  90,            0.017226,           0.0036638,          3.8166e-05,             0.92956,             0.92387,              0.9535,             0.68522,            0.019835,           0.0035087,          3.2533e-05,            0.001189,            0.001189,            0.001189
                  91,            0.016855,           0.0036287,          3.6276e-05,             0.93146,             0.92273,             0.95373,             0.68586,            0.019831,           0.0035123,          3.2397e-05,             0.00109,             0.00109,             0.00109
                  92,            0.016398,           0.0035546,          3.4409e-05,             0.93098,             0.92244,             0.95374,             0.68616,            0.019831,           0.0035165,          3.2154e-05,            0.000991,            0.000991,            0.000991
                  93,            0.016648,           0.0035751,          3.4395e-05,             0.93302,             0.92156,              0.9533,             0.68619,            0.019831,           0.0035191,          3.1829e-05,            0.000892,            0.000892,            0.000892
                  94,            0.016754,           0.0036028,           3.372e-05,             0.93303,             0.92187,             0.95322,             0.68705,            0.019832,           0.0035209,          3.1673e-05,            0.000793,            0.000793,            0.000793
                  95,            0.016335,           0.0035432,          3.1984e-05,             0.93332,             0.92159,             0.95342,             0.68718,            0.019837,           0.0035223,          3.1445e-05,            0.000694,            0.000694,            0.000694
                  96,            0.016176,           0.0035122,          3.1434e-05,             0.93806,             0.91873,             0.95304,             0.68741,             0.01984,           0.0035243,          3.1203e-05,            0.000595,            0.000595,            0.000595
                  97,            0.016698,           0.0035819,          3.1141e-05,             0.93784,             0.91902,             0.95315,             0.68686,            0.019849,           0.0035263,          3.1002e-05,            0.000496,            0.000496,            0.000496
                  98,            0.015879,           0.0034515,          2.9985e-05,             0.93668,             0.92016,              0.9531,             0.68702,            0.019856,           0.0035281,          3.0718e-05,            0.000397,            0.000397,            0.000397
                  99,            0.015958,           0.0034643,          2.9419e-05,             0.93841,             0.91873,             0.95306,             0.68722,            0.019864,           0.0035308,          3.0441e-05,            0.000298,            0.000298,            0.000298
